DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2008,ES,16634,ES52,1,80,1,5237.00601,1,2,1
2008,ES,16638,ES61,1,1108,1,5241.63105,1,2,1
2008,ES,16640,ES22,1,1249,1,1287.04949,1,1,1
2008,ES,16651,ES24,1,1925,1,544.78148,1,1,1
2008,ES,16657,ES30,1,914,1,2169.94978,1,1,1
2008,ES,16659,ES61,1,1589,1,2716.13274,1,2,1
2008,ES,16660,ES30,1,888,1,3665.85864,1,1,1
2008,ES,16663,ES42,1,620,1,199.35556,1,3,1
2008,ES,16665,ES51,1,303,1,1739.30370,1,1,1
2008,ES,16666,ES64,1,1998,1,379.97024,1,1,1
2008,ES,16669,ES21,1,1956,1,252.39910,1,1,1
2008,ES,16671,ES52,1,1722,1,669.44446,1,3,1
2008,ES,16673,ES30,1,1068,1,614.30443,1,3,1
2008,ES,16674,ES52,1,512,1,1589.63197,1,2,1
2008,ES,16675,ES52,1,77,1,3736.55660,1,2,1
2008,ES,16690,ES70,1,1496,1,460.56918,1,2,1
2008,ES,16694,ES11,1,606,1,291.71264,1,2,1
2008,ES,16695,ES43,1,132,1,1114.43959,1,3,1
2008,ES,16696,ES11,1,1449,1,715.02107,1,1,1
2008,ES,16699,ES62,1,1130,1,140.21785,1,2,1
2008,ES,16700,ES41,1,434,1,1610.39280,1,3,1
2008,ES,16702,ES51,1,269,1,5622.23123,1,1,1
2008,ES,16704,ES22,1,1227,1,187.36115,1,1,1
2008,ES,16706,ES13,1,1545,1,194.39511,1,3,1
2008,ES,16711,ES12,1,1272,1,307.53457,1,1,1
2008,ES,16718,ES61,1,474,1,1384.96913,1,2,1
2008,ES,16720,ES12,1,1317,1,490.25620,1,3,1
2008,ES,16723,ES52,1,503,1,975.95638,1,1,1
2008,ES,16726,ES11,1,1448,1,1231.81720,1,1,1
2008,ES,16727,ES30,1,949,1,444.45888,1,1,1
2008,ES,16732,ES22,1,1217,1,237.41880,1,1,1
2008,ES,16736,ES30,1,1033,1,884.11947,1,1,1
2008,ES,16746,ES62,1,1155,1,2292.53394,1,2,1
2008,ES,16747,ES41,1,1805,1,2932.05563,1,1,1
2008,ES,16751,ES11,1,1260,1,638.17865,1,1,1
2008,ES,16763,ES24,1,1942,1,1105.37360,1,1,1
2008,ES,16765,ES52,1,81,1,2430.50807,1,2,1
2008,ES,16768,ES41,1,1460,1,519.06091,1,3,1
2008,ES,16770,ES13,1,1561,1,186.53839,1,1,1
2008,ES,16772,ES62,1,1143,1,155.95843,1,3,1
2008,ES,16773,ES51,1,1654,1,1799.49346,1,2,1
2008,ES,16776,ES43,1,444,1,458.63565,1,3,1
2008,ES,16780,ES22,1,1196,1,218.39991,1,3,1
2008,ES,16784,ES12,1,1332,1,213.28241,1,1,1
2008,ES,16792,ES11,1,1437,1,1070.75001,1,2,1
2008,ES,16793,ES51,1,285,1,900.83200,1,1,1
2008,ES,16797,ES23,1,840,1,119.47381,1,1,1
2008,ES,16798,ES42,1,1703,1,1138.20581,1,3,1
2008,ES,16802,ES51,1,291,1,1098.36296,1,1,1
2008,ES,16804,ES63,1,1980,1,162.63989,1,1,1
2008,ES,16817,ES22,1,1200,1,983.75065,1,1,1
2008,ES,16818,ES22,1,1225,1,272.74498,1,1,1
2008,ES,16821,ES70,1,1484,1,1393.66051,1,2,1
2008,ES,16825,ES30,1,1006,1,1343.64402,1,1,1
2008,ES,16835,ES42,1,522,1,1659.63640,1,2,1
2008,ES,16838,ES52,1,80,1,792.85857,1,2,1
2008,ES,16839,ES61,1,758,1,1768.12436,1,3,1
2008,ES,16864,ES53,1,184,1,595.92150,1,2,1
2008,ES,16865,ES53,1,178,1,412.41644,1,2,1
2008,ES,16878,ES41,1,1887,1,514.89302,1,3,1
2008,ES,16880,ES61,1,1085,1,1862.99370,1,1,1
2008,ES,16881,ES52,1,1782,1,2552.75531,1,1,1
2008,ES,16883,ES70,1,1388,1,1407.32797,1,1,1
2008,ES,16885,ES11,1,569,1,614.52349,1,3,1
2008,ES,16887,ES61,1,469,1,1795.99181,1,1,1
2008,ES,16897,ES61,1,1094,1,2349.18881,1,1,1
2008,ES,16899,ES24,1,1911,1,1970.60675,1,3,1
2008,ES,16904,ES51,1,798,1,1664.42315,1,1,1
2008,ES,16906,ES30,1,1008,1,2492.44286,1,1,1
2008,ES,16909,ES30,1,891,1,2786.98453,1,1,1
2008,ES,16912,ES30,1,898,1,5999.28726,1,2,1
2008,ES,16928,ES11,1,868,1,942.67764,1,3,1
2008,ES,16929,ES61,1,1113,1,3944.27307,1,3,1
2008,ES,16932,ES61,1,1082,1,881.72474,1,2,1
2008,ES,16934,ES11,1,882,1,478.16459,1,3,1
2008,ES,16948,ES42,1,31,1,1314.41641,1,3,1
2008,ES,16951,ES30,1,1014,1,1641.57199,1,1,1
2008,ES,16954,ES53,1,219,1,291.30309,1,1,1
2008,ES,16957,ES61,1,652,1,3588.75442,1,3,1
2008,ES,16959,ES21,1,711,1,560.23605,1,1,1
2008,ES,16962,ES52,1,1712,1,1438.64468,1,3,1
2008,ES,16964,ES41,1,1897,1,1244.67551,1,2,1
2008,ES,16967,ES51,1,363,1,2717.99920,1,1,1
2008,ES,16970,ES61,1,665,1,3147.17947,1,1,1
2008,ES,16971,ES61,1,658,1,1757.00695,1,1,1
2008,ES,16973,ES61,1,1099,1,1015.45937,1,1,1
